,tweet,likes,country,candidate,retweet_count
42,"Es ist möglich, dass es in einigen Wahlbezirken in den USA gerade erheblichen Wahlbetrug gibt, um Joe #Biden gegen Donald #Trump zum Sieg zu verhelfen. Es gibt bedenkliche Indizien dafür. Aber weder soll man es leichtfertig behaupten noch abstreiten. Wir wissen nicht, was stimmt.",173.0,Austria,Trump,
43,"Dear Americans, congratulations on chosing a decent man to be your next president.

No matter if we measure our distance in miles or kilometers, we have never been as far apart from each other than during the presidency of Donald #Trump-let's restore our close partnership #Biden https://t.co/RjUO8QZ6c3",144.0,Austria,Trump,
44,@HikmetHajiyev @StateDept @OSCE #bbcnews #CNN #FoxNews #WashingtonPost #rtenews #FRANCE24 #DonaldTrump #VladimirPutin #StopArmenianAggression #StopArmenianTerrorisim 😡😡😡,36.0,Azerbaijan,Trump,
45,"The death toll from Armenia rocket attack on Barda has reached 16. This is the second Khojaly genocide!!
#PrayForBarda #Barda #BardaCity 
#StopArmenianTerrorism #StopArmeniaFascism #StopArmeniAggression #Azerbaijan #Armenia #Trump  #MacronApologizeToMuslims #PashinyanisTerrorist https://t.co/UAb7uaVDjm",34.0,Azerbaijan,Trump,
46,"#StopArmanianAggression 
#PlayForGanja
#KarabakhisAzerbaijan 
#KarabakhisAzerbaijan
🇦🇿🇦🇿🇦🇿🇦🇿🇦🇿
#PrayForGanja 
#KardashiansSupportTerrorism 
#StopPashinyan #EmmanuelMacron #DonaldTrump #VladimirPutin https://t.co/CWTCQ0zeIN",21.0,Azerbaijan,Trump,
47,"Today two more our schoolchildren have become the victims of the #Armenian aggression: Ismayilzade Orkhan and Mayakov Artur.
#StopArmenianTerrorism 
#StopArmenianAggression 
#ArmeniaKillsCivilians 
#ArmeniaKillsChildren 
#OSCE 
#UN
#HumanRights 
#Merkel 
#Putin 
#Trump https://t.co/a8nVfL6983",18.0,Azerbaijan,Trump,
48,"#StopArmanianAggression 
#StopArmenianOccupation 
#StopArmenianTerrorism 
#StopAttackingCivilians 
#DontBelieveArmenian 
#KarabakhisAzerbaijan 
#KarabakhisAzerbaijan
🇦🇿🇦🇿🇦🇿🇦🇿🇦🇿
#PrayForGanja 
#KardashiansSupportTerrorism 
#StopPashinyan #EmmanuelMacron #DonaldTrump #VladimirPutin",16.0,Azerbaijan,Trump,
49,"@JenM5157 @GottaLoveGabe @RainyMyth @dmhallenbeck @DonnaJo1002 @Robyn_CherCrew @CupofJoeintheD2 @altzephcochrane @Mooncatadams @TrishBeMe @Hope4usall1 @nadiepetah @DuhartKimberlie @wildwillow65 @PattiKimble @abigail_doull @network_gal @doris03763159 @PRubesa @GlennVotesBlue @RestlessNews @Dimenti29834618 @TerryCardwell @MarilynFrenchee @Truman_Town @SarahGould_SA @Itridpm @JTDakota @NikkiMila4 @thecorpmex @BJHare @GualcoJodie @Jeeneree @littlebee88 @melvilleal @DudekLinda @beatlebabe49 @TIKdOffPinsNTh1 @aqsher @kim_f86 @archerwood4 @Nic6454 @Djinnaat @debbie_dease @TRooseveltGhost @RBTrepessa @RobertMcCowan1 @agavecorn @DawnLenhardt @co_rapunzel4 Even the murderous dictators of whom he’s so enamoured &amp; with whom he claims to have such close relationships: Putin, Un, Erdogan, Chi, Duterte, Bin Salman think #trump a laughable buffoon &amp; an idiot. On that 1 thing, world heads are in accord😂😂😂😂 https://t.co/aEjJ7T3ZlT",5.0,Bahamas,Trump,
50,President Donald Trump wants to end the count but he can’t all votes must be accounted for🤣😭🤣😭 #ElectionResults #Election2020 #trump #elections #ElectionNight #Vote2020 #Elections2020 #ElectionDay #vote https://t.co/SmS3RYsaiD,4.0,Bahamas,Trump,
51,"Kristen Welker is doing a damn good job at moderating this debate. @JoeBiden is responding to the questions, #Trump is deflecting",1.0,Bahamas,Trump,
